text,category,severity
"Main storm drain culvert collapsed under truck weight, half the road completely severed in Chaibasa.",Urban Infrastructure,HIGH
Continuous power blackout in civil hospital during emergency surgeries in Bokaro.,Energy,CRITICAL
Government high school in Ramgarh has no math or science teacher for the entire academic year.,Education,HIGH
"Agricultural power transformer burned out, tube wells non-functional during peak irrigation in Saraikela.",Agriculture,HIGH
Damaged sluice valve cutting drinking water supply to entire commercial and residential district in Ranchi.,Water Management,HIGH
Electric wires tangled in tree branches causing sparks in wind near Ring Road in Sahebganj.,Energy,MEDIUM
Scheduled municipal water tanker delayed by more than 24 hours in ward 27 of Dhanbad.,Water Management,MEDIUM
"Soil testing laboratory report delayed by 4 months, missed sowing season in block Saraikela.",Agriculture,MEDIUM
"Classroom roof leaking severely during monsoon rain, destroying desks and textbooks in Pakur.",Education,HIGH
Water pressure in bathroom taps is very low on upper floors in apartment complex Dumka.,Water Management,LOW
Loud music played after 10 PM during local marriage celebrations in sector 13 of Saraikela.,Public Safety,LOW
Public park green lawn dried up due to lack of municipal gardening staff in Hazaribagh.,Environment,LOW
Bio-medical hazardous waste including infected needles and bandages dumped in open field behind hospital Dhanbad.,Healthcare,HIGH
Requesting installation of an additional community water tap near the new bus stop in Bokaro.,Water Management,LOW
"Hazardous industrial gas leak from factory causing nausea, fainting, and breathing distress in surrounding village Dumka.",Environment,CRITICAL
Gang of anti-social youth eve-teasing and harassing female students daily outside coaching hub in Pakur.,Public Safety,HIGH
Drainage silt cleared by cleaners left piled on pedestrian pavement and never carted away in Saraikela.,Sanitation,MEDIUM
Divider break on fast expressway in Godda causing tractors and two-wheelers to drive on wrong side.,Urban Infrastructure,HIGH
School computer lab equipment locked in boxes for 2 years without power connection in Pakur.,Education,MEDIUM
Illegal crude firecracker and explosives manufacturing operating in densely packed residential colony in Khunti.,Public Safety,CRITICAL
"Street dustbin missing lid, stray dogs scattering waste in Hazaribagh.",Sanitation,LOW
Fallen autumn leaves accumulated in street gutters in sector 14 of Gumla.,Sanitation,LOW
"Highway flyover expansion joint widened by 6 inches, vibrating violently under vehicular movement in Khunti.",Urban Infrastructure,CRITICAL
Traffic signals at four-way junction on Circular Road blinking yellow continuously causing vehicle gridlocks.,Urban Infrastructure,MEDIUM
Auto rickshaw stand encroaching on pedestrian crossing near market Simdega.,Transportation,LOW
Request for placing separate green and blue waste segregation bins in park at Dumka.,Sanitation,LOW
Old transport truck emitting black smoke exhaust while idling at traffic stop in West Singhbhum.,Environment,LOW
Water bill received has higher meter reading than actual consumption in Chaibasa.,Water Management,LOW
"Water supply in Dhanbad restricted to only 15 minutes once in 3 days, causing violent disputes at community taps.",Water Management,HIGH
Electric wires tangled in tree branches causing sparks in wind near Hospital Road in Ranchi.,Energy,MEDIUM
Electric wires tangled in tree branches causing sparks in wind near Ring Road in Sahebganj.,Energy,MEDIUM
School bus driver driving recklessly with overcrowded children on Hospital Road.,Education,MEDIUM
"Acute dengue and viral encephalitis outbreak claiming lives of children in Giridih, immediate medical team required.",Healthcare,CRITICAL
"Community water tap handle rusted and broken, water dripping continuously in West Singhbhum.",Water Management,MEDIUM
Staff at government health sub-centre in Bokaro demanding illicit money for issuing vaccination certificates.,Healthcare,MEDIUM
Surgeon and anesthesiologist absent during critical trauma patient admission at civil hospital Palamu.,Healthcare,CRITICAL
State transport buses regularly skipping designated village bus stops in Chatra.,Transportation,MEDIUM
Divider break on fast expressway in Sahebganj causing tractors and two-wheelers to drive on wrong side.,Urban Infrastructure,HIGH
Open electrical feeder pillar box with live bare busbars standing unlocked outside children's park in Garhwa.,Energy,CRITICAL
"Distribution transformer caught fire and exploded, fire spreading toward adjacent residential huts in Lohardaga.",Energy,CRITICAL
Scheduled municipal water tanker delayed by more than 24 hours in ward 23 of Dumka.,Water Management,MEDIUM
Illegal commercial timber logging and cutting of ancient Sal trees in protected forest zone of Bokaro.,Environment,HIGH
Electric wires tangled in tree branches causing sparks in wind near Hospital Road in Gumla.,Energy,MEDIUM
"Canal embankment breached by heavy flow, submerging 200 acres of paddy fields and farmers' huts in Bokaro.",Agriculture,CRITICAL
Organized cyber fraud gang duping illiterate rural elders of their pension funds under fake scheme in Chaibasa.,Public Safety,MEDIUM
Waiting area ceiling fans in health dispensary West Singhbhum making loud squeaking noise.,Healthcare,LOW
Dilapidated school building declared unsafe still hosting classes of 200 primary pupils in Ramgarh.,Education,CRITICAL
Illegal crude firecracker and explosives manufacturing operating in densely packed residential colony in Bokaro.,Public Safety,CRITICAL
Chemical chemical plant dumping toxic untreated red effluent directly into Subarnarekha river stream near Giridih.,Environment,CRITICAL
Clean drinking water dispenser not working in hospital OPD waiting lounge in Giridih.,Healthcare,LOW
"Complete groundwater depletion in Garhwa, borewells pumping sand, emergency relief tankers urgently needed.",Water Management,CRITICAL
"Footpath paving blocks broken and dislodged, forcing school students to walk in traffic in Dumka.",Urban Infrastructure,MEDIUM
OPD registration counter has only one operator for over 400 patients daily in Khunti.,Healthcare,MEDIUM
"Night bus transport service discontinued abruptly, leaving female hospital workers unsafe in Bokaro.",Transportation,HIGH
Child immunization camp date postponed twice without notifying parents in Deoghar.,Healthcare,MEDIUM
Sticker bills and posters defacing newly painted public sanitation facility in Lohardaga.,Sanitation,LOW
Pedestrian subway flooded with 5 feet of stormwater and live electrical wires submerged in water.,Urban Infrastructure,CRITICAL
Request for additional story books and encyclopedia in village school library in West Singhbhum.,Education,LOW
"No electricity connection in rural school Chaibasa, children sitting in dark classrooms in 43°C summer.",Education,HIGH
Footbridge over railway tracks in Saraikela has severely rusted corroded pillars shaking in wind.,Urban Infrastructure,HIGH
Public drinking fountain near park in Hazaribagh has a slow leaky washer.,Water Management,LOW
"Dangerous potholes covering entire 5 km stretch of Circular Road, making emergency ambulance transit impossible.",Urban Infrastructure,HIGH
"Toxic chemical industrial waste dumped near community playground, emitting noxious fumes in Ramgarh.",Sanitation,CRITICAL
"Dead cattle carcass lying rotting on roadside of Station Road for 3 days, causing unbearable stench.",Sanitation,HIGH
Hospital blood bank has zero units of all blood groups during emergency accident influx in Hazaribagh.,Healthcare,CRITICAL
Chemical chemical plant dumping toxic untreated red effluent directly into Subarnarekha river stream near Dhanbad.,Environment,CRITICAL
"Electricity bill received after the due date, incurring unjustified penalty charge in Deoghar.",Energy,LOW
"Ceiling plaster fell on elementary students during classes, three children injured in school at Palamu.",Education,CRITICAL
Illegal commercial timber logging and cutting of ancient Sal trees in protected forest zone of Sahebganj.,Environment,HIGH
Construction and demolition debris dumped openly on dry riverbed near Ring Road.,Environment,MEDIUM
Dense poisonous smoke from open garbage burning at municipal dumping ground suffocating Palamu.,Environment,HIGH
School bus driver driving recklessly with overcrowded children on Hospital Road.,Education,MEDIUM
Subsidized fertilizer (Urea and DAP) completely black-marketed and unavailable at government cooperative in Dumka.,Agriculture,HIGH
"Mid-day meal served to schoolchildren contained dead lizard and worms, 20 pupils hospitalized in Lohardaga.",Education,CRITICAL
Decorative street light poles in park Chaibasa have missing decorative glass covers.,Urban Infrastructure,LOW
Armed gang carrying out chain snatching and robberies on dark bypass stretch of Hospital Road after 8 PM.,Public Safety,CRITICAL
Request for additional story books and encyclopedia in village school library in Sahebganj.,Education,LOW
"No electricity connection in rural school Jamtara, children sitting in dark classrooms in 43°C summer.",Education,HIGH
"Government bus service to rural block Giridih canceled without notice, college students stranded.",Transportation,HIGH
Fake and counterfeit antibiotics distributed through government pharmacy outlet in Gumla.,Healthcare,CRITICAL
Farmer credit card passbook printer out of paper at rural bank branch Bokaro.,Agriculture,LOW
Streetlight junction box sparking loudly every evening during dusk in Saraikela.,Energy,MEDIUM
"Community water tap handle rusted and broken, water dripping continuously in West Singhbhum.",Water Management,MEDIUM
Water pressure in bathroom taps is very low on upper floors in apartment complex Chaibasa.,Water Management,LOW
Streetlight junction box sparking loudly every evening during dusk in Sahebganj.,Energy,MEDIUM
Dense poisonous smoke from open garbage burning at municipal dumping ground suffocating Pakur.,Environment,HIGH
"Unmarked and unpainted speed breaker on Station Road without reflectors, vehicles violently jumping.",Urban Infrastructure,MEDIUM
Free textbooks and uniforms under government educational scheme not distributed even 4 months after session start in Ranchi.,Education,MEDIUM
